Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2010-01-04 00:00:00+00:00,1020.23468,1142.150024,1149.449951,1126.150024,1140,329988,DRREDDY
2010-01-05 00:00:00+00:00,1051.766846,1177.449951,1181,1150,1150,411658,DRREDDY
2010-01-06 00:00:00+00:00,1078.743286,1207.650024,1232.5,1183.349976,1186.199951,1289786,DRREDDY
2010-01-07 00:00:00+00:00,1062.039429,1188.949951,1214.849976,1178.099976,1190.099976,298340,DRREDDY
2010-01-08 00:00:00+00:00,1066.639771,1194.099976,1210.900024,1180,1200,240469,DRREDDY
2010-01-11 00:00:00+00:00,1072.043823,1200.150024,1225,1165.650024,1225,410803,DRREDDY
2010-01-12 00:00:00+00:00,1080.395752,1209.5,1230,1200.199951,1205,480939,DRREDDY
2010-01-13 00:00:00+00:00,1097.144531,1228.25,1235,1200,1200,381222,DRREDDY
2010-01-14 00:00:00+00:00,1105.049561,1237.099976,1257,1232.25,1239,233748,DRREDDY
2010-01-15 00:00:00+00:00,1098.662842,1229.949951,1247.800049,1223.199951,1238,237785,DRREDDY
2010-01-18 00:00:00+00:00,1092.454956,1223,1249.5,1220.099976,1221.050049,143020,DRREDDY
2010-01-19 00:00:00+00:00,1054.491455,1180.5,1232.949951,1177.5,1230,430429,DRREDDY
2010-01-20 00:00:00+00:00,1073.160156,1201.400024,1221,1142.25,1182,1197566,DRREDDY
2010-01-21 00:00:00+00:00,1003.665039,1123.599976,1205.150024,1115,1205.150024,1149131,DRREDDY
2010-01-22 00:00:00+00:00,1007.059204,1127.400024,1134.349976,1083.150024,1115,618108,DRREDDY
2010-01-25 00:00:00+00:00,1002.146606,1121.900024,1134.800049,1065.650024,1115.849976,529022,DRREDDY
2010-01-27 00:00:00+00:00,988.3900146,1106.5,1127.900024,1091,1107,783457,DRREDDY
2010-01-28 00:00:00+00:00,1029.83728,1152.900024,1172,1115,1127,1129127,DRREDDY
2010-01-29 00:00:00+00:00,1000.091919,1119.599976,1134,1089.25,1127,688149,DRREDDY
2010-02-01 00:00:00+00:00,1003.5755,1123.5,1139,1107.300049,1139,174831,DRREDDY
2010-02-02 00:00:00+00:00,1041.182007,1165.599976,1192,1127,1127,926468,DRREDDY
2010-02-03 00:00:00+00:00,1029.256836,1152.25,1179.300049,1146.25,1170,299794,DRREDDY
2010-02-04 00:00:00+00:00,1037.876709,1161.900024,1171.800049,1132.099976,1155,419819,DRREDDY
2010-02-05 00:00:00+00:00,1027.693604,1150.5,1158,1115,1130,591945,DRREDDY
2010-02-08 00:00:00+00:00,996.5188599,1115.599976,1140,1106.050049,1139.849976,236907,DRREDDY
2010-02-09 00:00:00+00:00,984.8619995,1102.550049,1119.400024,1099.099976,1119.400024,471664,DRREDDY
2010-02-10 00:00:00+00:00,967.7559814,1083.400024,1115,1080,1105,489499,DRREDDY
2010-02-11 00:00:00+00:00,974.1873779,1090.599976,1099,1084,1090,175002,DRREDDY
2010-02-15 00:00:00+00:00,987.541748,1105.550049,1114.5,1090,1090,164504,DRREDDY
2010-02-16 00:00:00+00:00,994.3304443,1113.150024,1119.900024,1099.099976,1113.800049,276774,DRREDDY
2010-02-17 00:00:00+00:00,987.9884033,1106.050049,1125,1104.349976,1125,489869,DRREDDY
2010-02-18 00:00:00+00:00,997.0994873,1116.25,1127.900024,1107.150024,1123,254789,DRREDDY
